Category,Function Name,Arguments,Result Type,Explanation,Examples,Display Reference,More Examples
Text,Left,"(Text t, Text d)",Text,"Returns the left part of a text value up to but not including the first occurrence of a delimiter character.  The first argument, t, is the value to be searched. The second argument, d, is a text value containing all the possible delimiter characters.","Left(""abc/def"","";/,"") returns ""abc""
Left(""Michael Smith"", "" "") returns ""Michael""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=139,Left
Text,Length,(Text t),Number,Returns the number of characters in t.,"Length(""abc"") returns 3",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=58,Length
Text,List,"(Text d, Text t1, Text t2, ...)",Text,"Concatenates (strings together) all arguments starting with the second argument, using the first argument as the delimiter between them. If one of the arguments is blank, it and the corresponding delimiter are omitted.","List(""-"", ""a"", ""b"", ""d"") returns ""a-b-d""

List("", "", ""a"", ""b"", """", ""d"") returns ""a, b, d""

List("", "", [Last Name], [First Name]) returns ""Last Name, First Name"" if both fields are not empty, returns ""Last Name"" if [First Name] is empty, and returns ""First Name"" if [Last Name] is empty.

List(""\n"", ""Name"", ""Address Line 1"", """", List("", "", ""City"", ""State""), ""Zip"") returns
""Name
Address Line 1
City, State
Zip""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=152,List
Numbers,Ln,(Number n),Number,Returns the natural (base e) logarithm of n.,Exp(Ln(72)) returns 72,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=56,Ln
Numbers,Log,(Number n),Number,Returns the base 10 logarithm of n.,"Log(100) returns 2
10 ^ Log(72) returns 72",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=55,Log
Text,Lower,(Text t),Text,Returns t converted to lower case.,"Lower(""ABC"") returns ""abc""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=59,Lower
Aggregation,Max,"(<any> x, <any> y, ...)",<same type as x and y>,"This function can take 2 or more arguments of any data type, as long as they are all the same type. The result is the same data type as the arguments. Null values are ignored.

For Numbers, returns the argument that is greatest.
For Text, returns the argument that sorts last alphabetically.
For Durations, returns the argument that is longest.
For Dates returns the argument that is latest.
For Date/Time, returns the argument that is latest.
For TimeOfDays, returns the argument that is latest.
For Booleans returns the argument that is largest, treating false as less than true.","Max (Days(2), Weeks(1)) returns 1 week
Max (10, 20, 30, 40) returns 40
Max (10, null, 30) returns 30
Max (null, null, null) returns null",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=63,Max
Text,Mid,"(Text t, Number p, Number n)",Text,"Returns n characters from the middle of t, starting at position p.  The first character is position 1.","Mid(""abcd"", 2, 3) returns ""bcd""
Mid(""abcd"", 4, 4) returns ""d""
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=128,Mid
Aggregation,Min,"(<any> x, <any> y, ...)",<same type as x and y>,"This function can take 2 or more arguments of any data type, as long as they are all the same type. The result is the same data type as the arguments.  Null values are ignored.

For Numbers, returns the argument that is least.
For Text, returns the argument that sorts first alphabetically.
For Durations, returns the argument that is shortest.
For Dates returns the argument that is earliest.
For Date/Time, returns the argument that is earliest.
For TimeOfDays, returns the argument that is earliest.
For Booleans returns the argument that is smallest, treating false as less than true.","Min (10, 20, 30, 40) returns 10
Min ([Date1], [Date2]) returns whichever date field's value is earlier
Min (Days(2), Weeks(1)) returns 2 days
in (10, null, 30) returns 10
Min (null, null, null) returns null",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=62,Min
TimeOfDay,Minute,(TimeOfDay t),Number,Returns the minute part of the argument t. The minute is in the range 0 to 59.,"Minute(ToTimeOfDay(""3:04pm"")) returns 4",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=170,Minute
Durations,Minutes,(Number n),Duration,"Returns a Duration representing n minutes.  This function takes a number and converts it into a Duration type value, expressed in minutes.","minutes(42) returns a duration of 42 minutes.
Minutes([Test Length in Minutes]) converts the numeric value in the Test Length in Minutes field into a duration expressed in minutes. The number doesn't change, just the data type.
[Start Time] + minutes(90) returns the time of day that 90 minutes after the time of day in the Start Time field.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=67,Minutes
Numbers,Mod,"(Number n, Number m)",Number,"Returns n modulo m.  Mod implements 'clock' arithmetic; it models movement around a clock that is labeled with the numbers 0 to m-1. To get the result, just count n times around the clock. (Mod is the same as Rem for positive numbers, but different for negative numbers.)

You might use this function to auto-assign tasks to staff members. For details, please read <a href=""http://www.quickbase.com/developer/knowledge-base/how-can-i-auto-assign-records-users-my-application-using-formula-i-want-randomly-and-evenly-"">this article</a>
","Mod(7,3) returns 1
Mod(-7,3) returns 2
Mod(7,-3) returns -1
Mod(-7,-3) returns -2

Sample auto-assign formula:

If (Mod([Record ID#],ToNumber([number_of_reps])) = 0, ToUser(""jsmith""),
Mod([Record ID#],ToNumber([number_of_reps])) = 1, ToUser(""bboop""),
Mod([Record ID#],ToNumber([number_of_reps])) = 2, ToUser(""ppeabody""))",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=52,Mod
Durations,Mod,"(Duration n, Duration m)",Duration,"Returns n modulo m.  (Mod is the same as Rem for positive numbers, but different for negative numbers.)","Mod(Days(4), Days(3)) =  Days(1)
Mod(Days(-4), Days(3)) =  Days(2)
Mod(Days(4), Days(-3)) = Days(-1)
Mod(Days(-4), Days(-3)) = Days(-2)
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=53,Mod
Dates,Month,(Date d),Number,Returns the month number of the Date d. January is month 1.,"Month([Start Date]) returns the number of the month within the date that appears in the Start Date field.

Month(ToDate(""Jan 10, 2000"") returns 1",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=31,Month
TimeOfDay,MSecond,(TimeOfDay t),Number,Returns the millisecond part of the argument t. The millisecond is in the range 0 to 999.,"MSecond(ToTimeOfDay(""3:04:01.344 pm"")) returns 344",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=171,MSecond
Durations,MSeconds,(Number n),Duration,"Returns a Duration representing n milliseconds. This function takes a number and converts it into a Duration type value, expressed in milliseconds.","Mseconds(250) returns a duration of 250 seconds.
Mseconds([Shutter Time]) converts the numeric value in the Shutter Time field into a duration expressed in milliseconds. The number doesn't change, just the data type.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=69,MSeconds
Dates,NameOfMonth,(Date d),Text,Returns the name of the month containing the given date.,"NameOfMonth(ToDate(""2/20/00"")) returns ""February"".",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=206,NameOfMonth
Date/Times,NameOfMonth,(Date/Time dt),Text,"Returns the name of the month containing the given Date/Time.&nbsp; Note that this is evaluated in the app&#39;s local time zone, not GMT.","If today is January 20, 2000, NameOfMonth(Now()) returns ""January"".",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=207,NameOfMonth
Numbers,NameOfMonth,(Number n),Text,Returns the name of the month whose number is n.&nbsp; Please be sure n is a whole number between 1 and 12.,"NameOfMonth(12) returns ""December"".",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=208,NameOfMonth
Dates,NextDayOfWeek,"(Date d, Number n)",Date,"Returns the first day after the given date d that falls on the weekday n.

n is a number from 0 to 6 with Sunday being 0, Monday being 1, Tuesday being 2, and so on.","NextDayOfWeek([Date Submitted], 2) returns the first Tuesday that follows the Date in the Date Submitted field.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=45,NextDayOfWeek
Unary Operators (act on single values),not,Boolean b,Boolean,"Returns the logical negation of b (if b is true, returns false, otherwise returns true).","(not true) returns false
(not not false) returns false
not isnull([Finish Date]) returns true if the Finish Date field has content--in other words, it's not null, or empty. (Read more about nulls at: https://www.quickbase.com/help/using_formulas_in_quickbase.html#null)",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=81,not
Text,NotLeft,"(Text t, Number n)",Text,Returns what remains after excluding the leftmost n characters from the Text argument t.,"NotLeft(""abcde"", 2) returns ""cde""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=172,NotLeft
Text,NotLeft,"(Text t, Text d)",Text,"Returns what remains after excluding the left part of a text value up to and including the first occurrence of a delimiter character.  The first argument, t, is the value to be searched. The second argument, d, is a text value containing all the possible delimiter characters.

If space is included in the delimiter list it is handled specially. It acts as a delimiter, but contiguous spaces surrounding a delimiter are ignored rather than each acting as a separate delimiter.","NotLeft(""abc/ def/ghi"","" ;/,"") returns ""def/ghi""
NotLeft(""Michael    Wissner"", "" "") returns ""Wissner""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=173,NotLeft
Text,NotRight,"(Text t, Number n)",Text,Returns what remains after excluding the rightmost n characters from the Text argument t.,"NotRight(""ABCDE"", 2) returns ""ABC""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=174,NotRight
Text,NotRight,"(Text t, Text d)",Text,"Returns what remains after excluding the right part of a text value starting at the last occurrence of a delimiter character.  The first argument, t, is the value to be searched. The second argument, d, is a text value containing all the possible delimiter characters.

If space is included in the delimiter list it is handled specially. It acts as a delimiter, but contiguous spaces surrounding a delimiter are ignored rather than each acting as a separate delimiter.","NotRight(""abc/ def"","" ;/,"") returns ""abc""
NotRight(""Michael   Wissner"", "" "") returns ""Michael""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=175,NotRight
Date/Times,Now,(),Date/Time,Returns a Date / Time value representing the current moment.,now() - [Date Created] returns the duration between the current moment and the date the record was created.,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=71,Now
Null Handling,Nz,(Number x),Number,"This function returns x if x is not null.  If it is null, it returns 0 instead. 

An undefined or empty field is ""null."" Null values don't work in numeric calculations, which is where the Nz() function comes in handy. When Nz() finds a null, it sees it as a zero. So, if you want to perform calculations on a field that may include a null, use the Nz function. ","Nz(4) returns 4
Nz(0) returns 0
Nz(null) returns 0
Nz([Mon]) + Nz([Tues] + Nz([Wed]) + Nz([Thurs]) + Nz([Fri]) returns the total of all numbers found in these day of the week fields. If a field is empty, Nz() reads it as a zero.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=13,Nz
Null Handling,Nz,(Duration d),Duration,"This function returns d if d is not null.  If it is null, it returns a 0-length duration instead. 

An undefined or empty field is ""null."" Null values don't work in calculations, which is where the Nz() function comes in handy. When Nz() finds a null, it sees it as a zero. So, if you want to perform calculations on a field that may include a null, use the Nz function.",Nz([Actual Duration]) + Nz([Actual Duration 1]) +  Nz([Actual Duration 2]) returns the totals of values in all these duration fields.,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=112,Nz
Null Handling,Nz,"(Number x, Number y)",Number,"This function returns x if x is not null. If it is null, it returns the alternate value y instead.

Null means that a field's value is undefined. In other words, no one has entered any data in that particular field. It's empty. Its value is null.","Nz(34, 100) returns 34
Nz(null, 100) returns 100
Nz([Final Sales Price], [Price Quote]) returns the value in the Final Sales Price field, if it exists. If Final Sales Price is empty (null), then this example returns the value in the Price Quote field.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=159,Nz
Null Handling,Nz,"(Duration x, Duration y)",Duration,"This function returns x if x is not null. If it is null, it returns the alternate value y instead.

Null means that a field's value is undefined. In other words, no one has entered any data in that particular field. It's empty. Its value is null.","Nz([Length of Project], [Estimated Length of Project] returns the value in the Length of Project field, if it exists. If there is no value in the Length of Project field, this formula returns the value in the Estimated Length of Project field.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=160,Nz
Null Handling,Nz,"(Date x, Date y)",Date,"This function returns x if x is not null. If it is null, it returns the alternate value y instead.

Null means that a field's value is undefined. In other words, no one has entered any data in that particular field. It's empty. Its value is null.
","Nz([Actual Finish Date], [Estimated Finish Date]) returns the value in the Actual Finish Date field, if it exists. If the Actual Finish Date field is empty, this formula returns the date in the Estimated Finish Date field.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=161,Nz
Null Handling,Nz,"(Date/Time x, Date/Time y)",Date/Time,"This function returns x if x is not null. If it is null, it returns the alternate value y instead.

Null means that a field's value is undefined. In other words, no one has entered any data in that particular field. It's empty. Its value is null.
","Nz([Timestamp of Request], [Date Created]) returns the value from the Timestamp of Request field, if it exists. If there is no value in that field, this formula returns the value from the Date Created field instead.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=162,Nz
Null Handling,Nz,"(TimeOfDay x, TimeOfDay y)",TimeOfDay,"This function returns x if x is not null. If it is null, it returns the alternate value y instead.

Null means that a field's value is undefined. In other words, no one has entered any data in that particular field. It's empty. Its value is null.","Nz([Finish Time], [Closing Time]) returns the value in the Finish Time field, if it exists. If there is no value in the Finish Time field, this formula returns the value in the Closing Time field.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=163,Nz
Binary Operators (act on multiple values),or,"Boolean a, Boolean b",Boolean,"Returns true if either a or b is true, otherwise returns false.",(true or false) returns true,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=102,or
Text,PadLeft,"(Text textToPad, Number targetLength, Text paddingText)",Text,"Extends text to a target length by adding padding to the left of the text. If the text is already the target length or longer, then there&#39;s no change. Otherwise, the padding text is added as necessary to reach the target length. NOTE: This function pads up to a limit of 50 characters.","PadLeft(""123"", 5, ""0"") returns ""00123""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=191,PadLeft
Text,PadRight,"(Text textToPad, Number targetLength, Text paddingText)",Text,"Extends text to a target length by adding padding to the right of the text. If the text is already the target length or longer, then there&#39;s no change. Otherwise, the padding text is added as necessary to reach the target length. NOTE: This function pads up to a limit of 50 characters.","PadRight(""123"", 5, ""**"") returns ""123**""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=192,PadRight
Text,Part,"(Text t, Number p, Text d)",Text,"Returns the specified part of a text value. The parts are separated by the occurrence of any delimiter character. The first argument, t, is the value to be searched. The second argument, p, is the position of the part in the argument t. The first part starting on the left is position 1.  Negative part numbers can be used to start from the right. The third argument, d, is a text value containing all the possible delimiter characters.

If space is included in the delimiter list it is handled specially. It acts as a delimiter, but contiguous spaces surrounding a delimiter are ignored rather than each acting as a separate delimiter.","Part(""hh:mm:ss"",1,"":"") returns ""hh""
Part(""hh:mm:ss"",3,"":"") returns ""ss""
Part(""hh:mm:ss"",-1,"":"") returns ""ss""
Part(""hh:mm"",3,"":"") returns """"
Part(""abc, def,ghi"",2,"" ,"") returns ""def""
Part([Append],2,""["") returns all text from the Append field that lives between the first [ character and the second [ character. This example shows how to extract only the most recent entry from an append field.
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=176,Part
Dates,PrevDayOfWeek,"(Date d, Number n)",Date,"Returns the last day before the given date d that falls on the weekday n.

n is a number from 0 to 6 with Sunday being 0, Monday being 1, Tuesday being 2, and so on.","PrevDayOfWeek([Date Due], 5) returns the date of the last Friday that occurse before the Date Due.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=46,PrevDayOfWeek
Numbers,PV,"(Number rate, Number nskip, Number amt)",Number,Calculates the Present Value of a future payment. Rate is the discount rate for one time period. Nskip is the number of time periods before the payment occurs. Amt is the amount of the payment.,"PV(.10, 2, 121) returns 100",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=164,PV
Numbers,PV,"(Number rate, Number nskip, Number amt, Number npay)",Number,"Calculates the Present Value of a series of future payments. Rate is the discount rate for one time period. Nskip is the number of time periods before the first payment occurs. Amt is the amount of each payment. Npay is the number of payments in the series, spaced one time period apart.","PV(.10, 1, 100, 3) returns 248.69",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=165,PV
Encoding Functions,QB32Decode,(Text t),Number,Decodes text back to an integer using a base32 encoding specific to Quick Base.,"QB32Decode(""bpcwsmnz6"") returns 1549023949564",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=196,QB32Decode
Encoding Functions,QB32Encode,(Number p),Text,Encodes an integer as text using a base32 encoding specific to Quick Base,"QB32Encode(1549023949564) returns ""bpcwsmnz6""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=195,QB32Encode
Numbers,Rem,"(Number n, Number d)",Number,"Returns a number that is the remainder after n is divided by d an integer number of times. (Mod is the same as Rem for positive numbers, but different for negative numbers.) ","Rem(7,3) returns 1
Rem(-7,3) returns -1
Rem(7,-3) returns 1
Rem(-7,-3) returns -1",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=50,Rem
Durations,Rem,"(Duration n, Duration d)",Duration,"Returns a Duration that is the remainder after n is divided by d an integer number of times. (Mod is the same as Rem for positive numbers, but different for negative numbers.)","Rem(Days(4), Days(3)) =  Days(1)
Rem(Days(-4), Days(3)) = Days(-1)
Rem(Days(4), Days(-3)) =  Days(1)
Rem(Days(-4), Days(-3)) = Days(-1)",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=51,Rem
Text,Right,"(Text t, Number n)",Text,Returns the rightmost n characters from the Text argument t.,"Right(""ABCD"", 2) returns ""CD""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=127,Right
Text,Right,"(Text t, Text d)",Text,"Returns the right part of a text value starting at the character after the last occurrence of a delimiter character.  The first argument, t, is the value to be searched. The second argument, d, is a text value containing all the possible delimiter characters.","Right(""abc/def"","";/,"") returns ""def""
Right(""Michael Wissner"", "" "") returns ""Wissner""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=140,Right
Rounding and Truncating,Round,(Number x),Number,Returns the nearest integer to the number x. The fraction .5 rounds up to the next greater integer.,"Round(3.2) = 3
Round(3.5) = 4
Round(3.7) = 4
Round(-3.4) = -3
Round(-3.5) = -3
Round(-3.7) = -4
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=26,Round
Rounding and Truncating,Round,"(Number x, Number y)",Number,"Returns the multiple of y which is nearest to x.

You may notice small discrepancies when you use this function with floating point numbers.  For example, Round(37.785,0.01) returns 37.78 instead of 37.79. This is not a QuickBase-specific issue; the discrepancies happen because some floating point numbers cannot be represented exactly in the binary format required by computers and are instead approximated.","Round(3.12345, .01) returns 3.12
Round(3.6, 2) returns 4
Round(-3.6, 2) returns -4
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=27,Round
Rounding and Truncating,Round,"(Duration x, Duration y)",Duration,Returns the multiple of the duration y which is nearest the duration x.,"Round(Days(3.5), Days(2)) returns Days(4)
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=28,Round
Text,SearchAndReplace,"(Text textToSearch, Text searchText, Text replacementText)",Text,Replaces all occurrences of a given search text with the replacement text. Search is case sensitive.,"SearchAndReplace(""John Smith"", ""John"", ""Jane"") returns ""Jane Smith""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=190,SearchAndReplace
TimeOfDay,Second,(TimeOfDay t),Number,Returns the second part of the argument t.  The second is in the range 0 to 59.,"Second(ToTimeOfDay(""3:04 pm"")) returns 0",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=177,Second
Durations,Seconds,(Number n),Duration,"Returns a Duration representing n seconds. This function takes a number and converts it into a Duration type value, expressed in seconds.","seconds(120) returns a duration of 120 seconds.
seconds([100yd Dash Finish Time]) converts the numeric value in the 100yd Dash Finish Time field into a duration expressed in seconds. The number doesn't change, just the data type.
[Start Time] + seconds(10) returns the time of day that's 10 seconds after the time of day in the Start Time field.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=68,Seconds
TextList,Split,(Text textToSplit),Text,"Converts text string, in format of items list with semicolon separator, to list structure. Each item can be processed separately. Empty values and blank values are ignored. Spaces at the beginning and at the end of resulting items are removed.","Example: Split("" item-0 ;;item-1; ;item-2"") returns [""item-0"", ""item-1"", ""item-2""]",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=202,Split
TextList,Split,"(Text textToSplit, Text delimiter)",Text,"Converts text string, in format of items list with&nbsp;custom separator character, to list structure. Each item can be processed separately. Empty values and blank values are ignored. Spaces at the beginning and at the end of resulting items are removed.","Example: Split("" item-0 ==item-1= =item-2"", ""="") returns [""item-0"", ""item-1"", ""item-2""]",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=203,Split
Numbers,Sqrt,(Number n),Number,Returns the square root of n.,"Sqrt(9) returns 3
Sqrt(16) returns 4",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=57,Sqrt
Aggregation,Sum,"(Number n, ...)",Number,Returns the sum of the non-null arguments.,"Sum(12.50, 0.5, null, 3) returns 16",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=134,Sum
Aggregation,Sum,"(Duration d, ...)",Duration,Returns the sum of the non-null arguments.,"Sum(Days(1), Weeks(2), Days(2)) returns 17 days",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=135,Sum
Type Conversion,ToBoolean,(Text x),Boolean,"Converts the values ""1"", ""true"" or ""yes"" to true, other values to false. Case is ignored.","ToBoolean(""Yes"") returns true
ToBoolean(""0"") returns false
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=17,ToBoolean
Type Conversion,ToBoolean,(Number n),Boolean,"Returns true if the Number n is a non-zero value, otherwise returns false.","ToBoolean(1) returns true
ToBoolean(0) returns false
ToBoolean(null) returns false
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=125,ToBoolean
Type Conversion,ToDate,(Text x),Date,"Converts the text value x into a Date. x can be several of the popular date formats, including ""January 30, 2000"", ""1/30/00"", ""2000/1/30"", ""1-30-2000""","ToDate(""Jan 30, 2000"") takes the text ""Jan 30, 2000"" and returns it as a date type value.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=18,ToDate
Type Conversion,ToDate,(Date/Time x),Date,"Date/Time type fields have a date, time and time zone associated with them, while Dates do not have time and time zone. This function converts the Date/Time x into a Date by returning the Date, in the local time zone, in which Date/Time x falls.",ToDate([Date Modified]) returns the Date the record was last modified,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=19,ToDate
Dates,Today,(),Date,Returns the current date in the local time zone.,Today() - [Estimated Finish Date] calculates the duration since the Estimated Finish Date occurred.,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=70,Today
Durations,ToDays,(Duration d),Number,"Takes a Duration d, and returns the number of days contained in it.","ToDays([Start Date] - Today()) returns the number of days until the Start date.

ToDays(Weeks(2)) returns 14
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=116,ToDays
Type Conversion,ToFormattedText,"(Date d, Text f)",Text,"Returns a Text value which is the formatted text version of the date specified. 
The Text argument to the function specifies the format. Choose one of:
   MMDDYYYY
   MMDDYY
   DDMMYYYY
   DDMMYY
   YYYYMMDD","ToFormattedText(Date(2000,01,30),""MMDDYYYY"")  returns ""01-30-2013"" 
ToFormattedText(Date(2000,01,30),""MMDDYY"")  returns ""01-30-13"" 
ToFormattedText(Date(2000,01,30),""DDMMYYYY"")  returns ""30-01-2013"" 
ToFormattedText(Date(2000,01,30),""DDMMYY"")  returns ""30-01-13"" 
ToFormattedText(Date(2000,01,30),""YYYYMMDD"")  returns ""2013-01-30"" ",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=186,ToFormattedText
Type Conversion,ToFormattedText,"(Date/Time t, Text f)",Text,"Returns a Text value which is the formatted text version of the date/time specified. 
The Text argument to the function specifies the format. Choose one of:
   MMDDYYYY
   MMDDYY
   DDMMYYYY
   DDMMYY
   YYYYMMDD","ToFormattedText([Date Created],""MMDDYYYY"")  returns ""01-30-2013 10:34 PM"" 
ToFormattedText([Date Created],""MMDDYY"")  returns ""01-30-13 10:34 PM"" 
ToFormattedText([Date Created],""DDMMYYYY"")  returns ""30-01-2013 10:34 PM"" 
ToFormattedText([Date Created],""DDMMYY"")  returns ""30-01-13 10:34 PM"" 
ToFormattedText([Date Created],""YYYYMMDD"")  returns ""2013-01-30 10:34 PM"" ",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=187,ToFormattedText
Type Conversion,ToFormattedText,"(Number n, Text f)",Text,"Returns a Text value which is the formatted text version of the number specified. 
The Text argument to the function specifies the format. Choose one of:
  none_dot -  returns the number formatted like 12345678.85
  comma_dot - returns the number formatted like 12,345,678.85
  comma_dot_2 - returns the number formatted like 1,23,45,678.85
  none_comma - returns the number formatted like 12345678,85
  dot_comma - returns the number formatted like 12.345.678,85
  dot_comma_2 - returns the number formatted like 1.23.45.678,85","ToFormattedText(2394729834.85, ""comma_dot"") returns 2,394,729,834.85",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=188,ToFormattedText
Type Conversion,ToFormattedText,"(Duration d, Text f)",Text,"Returns a Text value containing the formatted print representation of the Duration d, using the format f.
The Text argument to the function specifies the format. Choose one of:
   HHMM
   HHMMSS
   MMSS
   MM
   MSECONDS
   SECONDS
   MINUTES
   HOURS
   DAYS
   WEEKS
   SMART","ToFormattedText([Duration],""HHMM"")  returns ""01:12"" 
ToFormattedText([Duration],""HHMMSS"")  returns ""01:02:03"" 
ToFormattedText([Duration],""MMSS"")  returns "":02:03"" 
ToFormattedText([Duration],""MM"")  returns "":02"" 
ToFormattedText([Duration],""MSECONDS"")  returns ""83750000"" 
ToFormattedText([Duration],""SECONDS"")  returns ""8375"" 
ToFormattedText([Duration],""MINUTES"")  returns ""25.55"" 
ToFormattedText([Duration],""HOURS"")  returns ""25.35"" 
ToFormattedText([Duration],""DAYS"")  returns ""1.53"" 
ToFormattedText([Duration],""WEEKS"")  returns ""0.1235"" 
ToFormattedText([Duration],""SMART"")  returns ""23.434 hours"" ",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=189,ToFormattedText
Durations,ToHours,(Duration d),Number,"Takes a Duration d, and returns the number of hours contained in it.","ToHours(Days(2)) returns 48
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=117,ToHours
Durations,ToMinutes,(Duration d),Number,"Takes a Duration d, and returns the number of minutes contained in it.","ToMinutes(Hours(2)) returns 120
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=118,ToMinutes
Durations,ToMSeconds,(Duration d),Number,"Takes a Duration d, and returns the number of milliseconds contained in it.","ToMSeconds(Seconds(2)) returns 2000
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=120,ToMSeconds
Type Conversion,ToNumber,(Text x),Number,Returns the number represented by the Text value x.,"ToNumber(""-12.3"") returns -12.3
ToNumber("""") returns null",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=16,ToNumber
Type Conversion,ToNumber,(Boolean b),Number,"Returns 0 if b is false, 1 if b is true.","ToNumber(false) returns 0
ToNumber(true) returns 1",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=124,ToNumber
Durations,ToSeconds,(Duration d),Number,"Takes a Duration d, and returns the number of seconds contained in it.","ToSeconds(Minutes(2)) returns 120
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=119,ToSeconds
Type Conversion,ToText,(<any> x),Text,Returns a Text value containing the print representation of the argument x.,"ToText(3.4) returns ""3.4""
ToText(null) returns """"
ToText(true) returns ""1""
ToText(Date(2000,12,16)) returns ""12-16-2000""
ToText(ToTimeOfDay(""4pm"")) returns ""4:00 pm""
ToText(Hours(2)+Minutes(20)) returns ""2:20""
ToText([Date Created]) returns ""12-15-2000 10:34 PM""

ToText([Record Owner]) returns the user name or email address of the user who appears in the Record Owner field.

ToText([AssignedTo]), where AssignedTo is a list-user field type, returns a semi-colon separated list of the user names or email addresses of the users  who appear in the AssignedTo field.
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=14,ToText
Type Conversion,ToTimeOfDay,(Text x),TimeOfDay,"Converts the text value x into a TimeOfDay. x can be several of the popular time formats, including ""3 pm"", ""3:04 am"", ""22:00"", ""2:03:29 am"", ""12:03:29.345"".","ToTimeofDay(""16:32"") returns the time 4:32pm",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=141,ToTimeOfDay
